Region,Area,Landmark,Traffic_Index,Pollution_Index,Max_Traffic_Time,Date,Time
Industrial,North,Stadium,75,129,Evening,11/21/23,00:58:09
Residential,West,Stadium,60,25,Morning,7/28/24,19:03:42
Suburb,East,Stadium,77,54,Evening,7/18/22,09:42:54
Industrial,North,Stadium,58,72,Evening,1/24/24,20:51:43
Industrial,North,Stadium,61,87,Evening,9/4/19,12:39:24
Residential,West,Mall,22,52,Morning,1/20/19,22:10:33
Residential,North,Park,49,125,Evening,2/23/22,13:31:09
Downtown,West,Park,15,54,Night,7/25/24,03:22:40
Suburb,West,Mall,50,81,Evening,5/24/18,18:08:57
Downtown,South,Park,87,107,Morning,1/25/23,20:50:26
Residential,East,Park,86,129,Afternoon,11/21/21,21:27:24
Suburb,East,School,12,60,Evening,5/20/20,13:47:40
Industrial,South,School,50,69,Afternoon,7/3/20,03:26:51
Downtown,West,Mall,57,65,Morning,6/4/23,09:04:13
Residential,South,Mall,72,133,Morning,2/27/23,07:41:50
Industrial,South,Stadium,66,141,Evening,12/17/20,03:20:26
Residential,South,Mall,26,145,Morning,11/24/18,06:08:58
Downtown,East,Mall,22,25,Evening,6/24/18,19:03:47
Residential,South,School,86,129,Afternoon,5/18/18,14:39:25
Industrial,East,Park,23,96,Evening,6/3/23,13:37:08
Industrial,South,Hospital,10,45,Morning,12/27/18,06:01:09
Industrial,East,Hospital,59,45,Night,7/17/21,21:31:02
Suburb,East,Stadium,21,22,Morning,2/4/20,00:23:39
Suburb,North,Mall,21,73,Night,10/3/24,20:40:24
Downtown,West,School,42,93,Night,10/19/22,08:10:53
Residential,South,Hospital,48,106,Afternoon,3/9/23,18:12:44
Residential,South,Mall,40,100,Evening,8/25/20,22:40:08
Downtown,East,Hospital,67,116,Night,7/1/20,23:27:27
Residential,North,Park,36,112,Morning,9/11/23,06:47:20
Downtown,North,School,52,37,Morning,3/19/23,02:29:11
Suburb,East,School,94,51,Evening,10/8/20,09:36:05
Downtown,East,Mall,95,115,Evening,8/25/23,08:52:46
Residential,North,Hospital,96,80,Afternoon,3/22/23,03:11:08
Industrial,North,Hospital,49,126,Morning,7/30/20,19:37:34
Industrial,West,Park,59,70,Morning,5/28/24,05:38:42
Downtown,West,Park,36,149,Evening,4/3/20,10:39:02
Downtown,East,Park,21,114,Evening,12/21/18,19:31:00
Downtown,North,School,71,46,Night,8/22/21,00:00:09
Downtown,West,Park,68,148,Morning,9/8/18,21:40:28
Industrial,South,Mall,53,99,Night,1/22/18,09:55:49
Downtown,North,School,10,32,Night,7/20/22,00:30:34
Residential,South,School,15,95,Night,8/11/22,01:40:04
Residential,West,Mall,11,53,Morning,6/5/20,05:43:37
Industrial,North,School,92,77,Afternoon,4/3/21,12:48:45
Residential,South,Park,94,93,Night,6/23/22,23:26:43
Downtown,South,Mall,60,42,Morning,6/1/23,12:54:44
Residential,West,Park,70,137,Afternoon,11/19/19,15:19:29
Residential,North,School,66,80,Night,10/5/18,17:54:59
Downtown,East,School,19,52,Afternoon,1/17/20,19:52:43
Industrial,South,Park,55,34,Afternoon,7/2/23,05:16:20
Industrial,North,Hospital,93,42,Night,5/31/20,19:53:06
Suburb,North,School,33,23,Evening,12/3/18,11:21:54
Industrial,North,School,84,128,Afternoon,1/6/21,10:29:07
Downtown,West,Mall,20,96,Afternoon,5/22/23,00:49:00
Suburb,South,School,38,65,Morning,6/6/22,19:13:32
Residential,West,School,89,113,Morning,1/24/23,05:59:49
Industrial,West,Stadium,13,131,Evening,4/5/23,21:16:51
Downtown,West,Stadium,47,134,Night,7/31/18,22:12:18
Downtown,East,School,69,133,Night,11/16/18,14:44:01
Downtown,North,Mall,73,46,Evening,6/15/20,00:08:21
Residential,South,School,27,125,Night,7/20/19,22:28:45
Residential,South,Mall,56,134,Morning,1/1/22,12:15:39
Suburb,West,Park,68,146,Night,1/26/19,06:33:32
Industrial,North,School,88,118,Evening,6/28/21,19:41:18
Residential,North,Stadium,62,91,Morning,10/23/21,07:47:44
Industrial,West,School,95,115,Afternoon,5/8/23,08:26:29
Downtown,South,School,35,121,Night,10/29/20,20:28:48
Suburb,West,School,60,87,Night,4/22/20,16:10:14
Residential,North,Mall,76,71,Evening,12/31/20,00:39:39
Industrial,West,Park,86,139,Morning,9/5/24,15:06:30
Industrial,North,Mall,61,35,Night,3/11/19,06:54:11
Residential,South,Stadium,34,111,Evening,10/28/24,19:06:07
Suburb,South,Hospital,51,101,Evening,12/11/24,09:04:33
Suburb,North,Stadium,55,117,Morning,8/2/23,13:33:03
Residential,West,School,41,80,Evening,5/1/22,12:02:12
Suburb,West,Hospital,53,103,Afternoon,3/24/23,03:24:29
Suburb,West,Park,64,114,Morning,3/14/23,05:22:45
Suburb,West,Mall,68,84,Night,12/11/23,13:36:30
Suburb,North,School,14,29,Night,4/5/23,06:34:58
Residential,East,Park,12,133,Afternoon,9/11/24,19:33:27
Residential,North,Stadium,82,28,Night,5/14/21,02:47:40
Industrial,North,Mall,50,71,Morning,11/26/19,19:47:14
Downtown,South,Stadium,35,58,Evening,6/25/18,21:52:28
Industrial,East,Hospital,90,128,Morning,6/8/20,21:44:02
Downtown,North,Stadium,91,91,Evening,6/19/23,03:35:46
Suburb,East,Hospital,64,102,Evening,4/22/23,16:34:32
Suburb,West,Mall,67,34,Afternoon,5/13/23,23:32:27
Industrial,North,Mall,32,144,Afternoon,6/13/22,19:19:26
Downtown,North,Hospital,85,50,Afternoon,4/13/18,02:37:15
Suburb,North,Park,52,125,Morning,6/16/20,17:33:00
Residential,East,Mall,94,87,Evening,5/6/24,08:08:23
Downtown,East,Park,34,88,Night,1/24/23,06:16:59
Downtown,West,Park,28,106,Night,2/24/25,08:53:45
Downtown,North,Stadium,19,81,Afternoon,6/10/18,15:09:18
Downtown,South,Mall,67,66,Night,5/25/18,10:20:50
Industrial,East,School,92,83,Evening,4/29/24,03:06:39
Downtown,South,School,79,90,Morning,2/26/22,09:23:04
Industrial,North,Mall,83,115,Evening,1/10/19,03:51:42
Suburb,North,Hospital,78,111,Evening,4/14/23,08:14:41
Residential,North,School,34,132,Evening,6/26/21,01:01:12
Suburb,South,Stadium,10,81,Night,9/6/21,08:17:57
Suburb,South,Stadium,46,58,Afternoon,6/24/19,19:05:59
Downtown,West,Park,48,28,Morning,5/25/21,02:02:33
Downtown,West,Stadium,47,100,Morning,3/7/23,15:50:27
Residential,North,Stadium,81,118,Evening,4/1/24,08:01:57
Residential,South,Mall,32,62,Night,10/25/24,00:58:41
Industrial,North,Hospital,31,29,Evening,6/11/18,06:12:22
Residential,West,Park,57,123,Evening,2/13/24,09:20:55
Downtown,East,Mall,40,35,Evening,3/1/19,11:24:19
Downtown,West,Stadium,58,118,Morning,3/7/24,21:20:44
Downtown,South,School,62,22,Afternoon,3/22/24,12:27:21
Downtown,South,Hospital,66,77,Night,8/19/21,01:13:33
Suburb,East,Park,38,94,Afternoon,8/17/23,14:03:20
Suburb,East,School,57,87,Afternoon,5/15/23,15:08:11
Residential,East,Park,89,133,Evening,4/11/18,05:00:19
Downtown,North,School,88,119,Morning,5/29/22,06:13:29
Residential,East,Park,50,60,Afternoon,6/13/19,10:19:26
Industrial,West,Stadium,64,57,Morning,4/3/20,19:30:36
Industrial,East,School,63,61,Evening,9/19/20,23:09:54
Industrial,North,Park,37,147,Night,3/20/20,18:51:04
Residential,South,Mall,48,40,Evening,12/2/23,18:03:35
Industrial,South,School,93,74,Morning,12/29/18,17:40:56
Residential,North,Park,37,130,Morning,5/25/18,15:12:40
Suburb,North,Stadium,80,63,Afternoon,4/29/22,05:55:29
Industrial,South,Hospital,15,148,Morning,7/11/23,00:50:39
Residential,East,Park,95,120,Evening,11/8/23,11:46:03
Industrial,East,Mall,34,142,Night,1/8/21,21:00:46
Residential,East,Park,39,144,Evening,7/6/18,09:22:47
Industrial,East,School,46,83,Afternoon,7/4/24,23:21:19
Suburb,North,Hospital,98,146,Evening,11/11/18,01:19:15
Downtown,North,Stadium,63,64,Night,11/2/21,04:04:12
Downtown,West,Mall,82,22,Afternoon,8/26/21,02:06:45
Downtown,South,Park,86,59,Night,5/5/24,18:18:50
Industrial,West,Park,31,109,Evening,6/29/24,23:22:53
Suburb,East,School,89,85,Morning,8/14/18,13:03:35
Residential,West,Stadium,51,128,Afternoon,7/21/19,17:01:31
Residential,North,Park,22,146,Morning,9/9/19,14:09:41
Downtown,South,School,42,96,Morning,9/22/20,08:56:38
Suburb,South,Hospital,53,65,Afternoon,2/12/24,19:16:34
Downtown,North,Mall,23,125,Afternoon,10/20/24,06:20:52
Residential,North,Hospital,88,112,Night,2/10/23,03:43:26
